Flight/Train/Ship number,Departure & arrival,Date of travel,Related probable/confirmed cases
Flight LX138,Zurich → Hong Kong,11/03/2020 (Arrival in Hong Kong),Case 168
Flight CX902,Manila → Hong Kong,13/03/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight LH119,Munich → Frankfurt,12/03/2020,Case 144
Flight LH796,Frankfurt → Hong Kong,13/03/2020 (Arrival in Hong Kong),Case 144 and case notified by the Health Commission of Guangdong province
Flight CX260,Paris → Hong Kong,13/03/2020 (Arrival in Hong Kong),"Case 145, 146 and 159"
Flight EK380,Dubai → Hong Kong,13/03/2020 (Arrival in Hong Kong),Case notified by the Health Bureau of Macao Special Administrative Region
Flight BA0953,Munich → London,13/03/2020,Case 154
Flight MS960,Cairo → Bangkok →  Hong Kong,14/03/2020 (Arrival in Hong Kong),Case 152
Flight BA0027,London → Hong Kong,14/03/2020,Case 154
Flight CX382,Zurich → Hong Kong,14/03/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight KA5930,Manila → Hong Kong,14/03/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight CX857,Seattle → Hong Kong,14/03/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight BA0733,Geneva → London,14/03/2020,Case 160
Flight CX270,Netherlands → Hong Kong ,15/03/2020 (Arrival in Hong Kong),Case 150
Flight CX837,Vancouver → Hong Kong,15/03/2020 (Arrival in Hong Kong),Case 157 and 158
Flight BA33,London → Kuala Lumpur ,15/03/2020 (Arrival in Kuala Lumpur),Case 160 and 164
Flight MH78,Kuala Lumpur → Hong Kong,15/03/2020,Case 160
Flight QR160,Copenhagen → Doha,15/03/2020,Case 165
Flight LH796,Frankfurt → Hong Kong,15/03/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight HX782,Manila → Hong Kong,15/03/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight CX5734,Kuala Lumpur → Hong Kong,16/03/2020,Case 164
Flight QR818,Doha → Hong Kong,16/03/2020,Case 165
Flight BA0027,London → Hong Kong,16/3/2020 (Arrival in Hong Kong),Case 166
