航班/火車/船編號,起點及終點,乘搭日期,相關疑似/確診個案
的士,瑪麗醫院→西寧街35號西寧閣,11/3/2020下午1:15及12/3/2020上午11:00,第132個案
航班 EK142,馬德里→杜拜,11/3/2020(抵達杜拜),第139個案
航班 EK380,杜拜→香港,11/3/2020,第139個案
航班 BA31,倫敦→香港,11/3/2020(抵達香港),第141個案
航班 JL2504,北海道→大阪,11/3/2020,第143及153個案
航班 CX561,大阪→香港,11/3/2020(抵達香港),第143及153個案
航班 CX320,馬德里→香港,11/3/2020(抵達香港),第161個案
航班 LX138,蘇黎世→香港,11/3/2020(抵達香港),第168個案
航班 QR818,杜拜→香港,11/3/2020,第186個案
航班 LH119,慕尼黑→法蘭克福,12/3/2020,第144個案
航班 CX238,倫敦→香港,12/3/2020(抵達香港),第170個案
航班 CX260,巴黎→香港,13/3/2020(抵達香港),第145、146及159個案
航班 CX698,新德里→香港,13/3/2020(抵達香港),第184個案
航班 CX902,馬尼拉→香港,13/3/2020(抵達香港),廣東省衞健委通報的個案
航班 LH796,法蘭克福→香港,13/3/2020(抵達香港),第144個案及廣東省衞健委通報的個案
航班 EK380,杜拜→香港,13/3/2020(抵達香港),澳門特別行政區衛生局通報的個案
航班 BA0953,慕尼黑→倫敦,13/3/2020,第154個案
航班 MS960,開羅→曼谷→香港,14/3/2020(抵達香港),第152個案
航班 BA0027,倫敦→香港,14/3/2020,第154個案
航班 CX382,蘇黎世→香港,14/3/2020(抵達香港),廣東省衞健委通報的個案
航班 KA5930,馬尼拉→香港,14/3/2020(抵達香港),廣東省衞健委通報的個案
航班 CX857,西雅圖→香港,14/3/2020(抵達香港),廣東省衞健委通報的個案
航班 BA0733,日內瓦→倫敦,14/3/2020,第160個案
航班 UO754,清邁→香港,14/3/2020,第175及176個案
航班 CX270,荷蘭→香港,15/3/2020(抵達香港),第150個案
航班 CX837,溫哥華→香港,15/3/2020(抵達香港),第157及158個案
航班 BA0033,倫敦→吉隆坡,15/3/2020(抵達吉隆坡),第160及164個案
航班 MH78,吉隆坡→香港,15/3/2020,第160個案
航班 QR160,哥本哈根→多哈,15/3/2020,第165個案
航班 CX256,倫敦→香港,15/3/2020(抵達香港),第171及181個案
航班 TG600,曼谷→香港,15/3/2020,第172個案
航班 BA0027,倫敦→香港,15/3/2020(抵達香港),第180個案
航班 LH796,法蘭克福→香港,15/3/2020(抵達香港),廣東省衞健委通報的個案
航班 HX782,馬尼拉→香港,15/3/2020(抵達香港),廣東省衞健委通報的個案
航班 KA734,吉隆坡→香港,16/3/2020,澳門特別行政區衛生局通報的個案
航班CX5734,吉隆坡→香港,16/3/2020,第164個案
航班 QR818,多哈→香港,16/3/2020,第165個案
航班 BA0027,倫敦→香港,16/3/2020(抵達香港),第166個案
航班 CX702,曼谷→香港,16/3/2020上午01:54(抵達香港),第177及178個案
航班 MH78,吉隆坡→香港,16/3/2020,第185個案
航班 LX138,蘇黎世→香港,16/3/2020(抵達香港),第193個案
航班 HX782,馬尼拉→香港,16/3/2020,澳門特別行政區衛生局通報的個案
航班 JL29,東京→香港,17/3/2020,第179個案
航班 CX250,倫敦→香港,17/3/2020(抵達香港),第187個案
航班 BI635,汶萊→香港,17/3/2020,第188及189個案
航班 CX718,雅加達→香港,17/3/2020,澳門特別行政區衛生局通報的個案
