As of date,As of time,Other countries/areas,Number of cases/confirmed cases,Number of deaths among confirmed cases,Remark
26/01/2020,18:00,Korea,3,,
26/01/2020,18:00,Thailand,5,,
26/01/2020,18:00,Singapore,4,,
26/01/2020,18:00,Vietnam,2,,
26/01/2020,18:00,Nepal,1,,
26/01/2020,18:00,Malaysia,3,,
26/01/2020,18:00,United States,2,,
26/01/2020,18:00,Australia,4,,
26/01/2020,18:00,France,3,,
27/01/2020,9:00,Hong Kong Special Administrative Region,8,,
27/01/2020,9:00,Macao Special Administrative Region,6,,
27/01/2020,9:00,Taiwan,4,,
27/01/2020,9:00,Japan,4,,
27/01/2020,9:00,Korea,3,,
27/01/2020,9:00,Thailand,5,,
27/01/2020,9:00,Singapore,4,,
27/01/2020,9:00,Vietnam,2,,
27/01/2020,9:00,Nepal,1,,
27/01/2020,9:00,Malaysia,3,,
27/01/2020,9:00,United States,5,,
27/01/2020,9:00,Australia,4,,
27/01/2020,9:00,France,3,,
27/01/2020,9:00,Canada,1,,
27/01/2020,18:00,Hong Kong Special Administrative Region,8,,
27/01/2020,18:00,Macao Special Administrative Region,6,,
27/01/2020,18:00,Taiwan,5,,
27/01/2020,18:00,Japan,4,,
27/01/2020,18:00,Korea,3,,
27/01/2020,18:00,Thailand,5,,
27/01/2020,18:00,Singapore,4,,
27/01/2020,18:00,Vietnam,2,,
27/01/2020,18:00,Nepal,1,,
27/01/2020,18:00,Malaysia,3,,
27/01/2020,18:00,United States,5,,
27/01/2020,18:00,Australia,4,,
27/01/2020,18:00,France,3,,
27/01/2020,18:00,Canada,1,,
28/01/2020,10:00,Hong Kong Special Administrative Region,8,,
28/01/2020,10:00,Macao Special Administrative Region,7,,
28/01/2020,10:00,Taiwan,5,,
28/01/2020,10:00,Japan,4,,
28/01/2020,10:00,Korea,4,,
28/01/2020,10:00,Thailand,8,,
28/01/2020,10:00,Singapore,5,,
28/01/2020,10:00,Vietnam,2,,
28/01/2020,10:00,Nepal,1,,
28/01/2020,10:00,Malaysia,4,,
28/01/2020,10:00,United States,5,,
28/01/2020,10:00,Australia,5,,
28/01/2020,10:00,France,3,,
28/01/2020,10:00,Canada,2,,
28/01/2020,10:00,Germany,1,,
28/01/2020,10:00,Sri Lanka,1,,
28/01/2020,18:00,Hong Kong Special Administrative Region,8,,
28/01/2020,18:00,Macao Special Administrative Region,7,,
28/01/2020,18:00,Taiwan,7,,
28/01/2020,18:00,Japan,6,,
28/01/2020,18:00,Korea,4,,
28/01/2020,18:00,Thailand,14,,
28/01/2020,18:00,Singapore,5,,
28/01/2020,18:00,Vietnam,2,,
28/01/2020,18:00,Nepal,1,,
28/01/2020,18:00,Malaysia,4,,
28/01/2020,18:00,United States,5,,
28/01/2020,18:00,Australia,5,,
28/01/2020,18:00,France,3,,
28/01/2020,18:00,Canada,2,,
28/01/2020,18:00,Germany,1,,
28/01/2020,18:00,Sri Lanka,1,,
28/01/2020,18:00,Cambodia,1,,
29/01/2020,9:00,Hong Kong Special Administrative Region,8,,
29/01/2020,9:00,Macao Special Administrative Region,7,,
29/01/2020,9:00,Taiwan,8,,
29/01/2020,9:00,Japan,7,,
29/01/2020,9:00,Korea,4,,
29/01/2020,9:00,Thailand,14,,
29/01/2020,9:00,Singapore,7,,
29/01/2020,9:00,Vietnam,2,,
29/01/2020,9:00,Nepal,1,,
29/01/2020,9:00,Malaysia,7,,
29/01/2020,9:00,United States,5,,
29/01/2020,9:00,Australia,5,,
29/01/2020,9:00,France,3,,
29/01/2020,9:00,Canada,2,,
29/01/2020,9:00,Germany,4,,
29/01/2020,9:00,Sri Lanka,1,,
29/01/2020,9:00,Cambodia,1,,
29/01/2020,18:00,Hong Kong Special Administrative Region,10,,
29/01/2020,18:00,Macao Special Administrative Region,7,,
29/01/2020,18:00,Taiwan,8,,
29/01/2020,18:00,Japan,7,,
29/01/2020,18:00,Korea,4,,
29/01/2020,18:00,Thailand,14,,
29/01/2020,18:00,Singapore,7,,
29/01/2020,18:00,Vietnam,2,,
29/01/2020,18:00,Nepal,1,,
29/01/2020,18:00,Malaysia,7,,
29/01/2020,18:00,United States,5,,
29/01/2020,18:00,Australia,6,,
29/01/2020,18:00,France,4,,
29/01/2020,18:00,Canada,3,,
29/01/2020,18:00,Germany,4,,
29/01/2020,18:00,Sri Lanka,1,,
29/01/2020,18:00,Cambodia,1,,
29/01/2020,18:00,United Arab Emirates,1,,
30/01/2020,9:00,Hong Kong Special Administrative Region,10,,
30/01/2020,9:00,Macao Special Administrative Region,7,,
30/01/2020,9:00,Taiwan,8,,
30/01/2020,9:00,Japan,8,,
30/01/2020,9:00,Korea,4,,
30/01/2020,9:00,Thailand,14,,
30/01/2020,9:00,Singapore,10,,
30/01/2020,9:00,Vietnam,2,,
30/01/2020,9:00,Nepal,1,,
30/01/2020,9:00,Malaysia,7,,
30/01/2020,9:00,United States,5,,
30/01/2020,9:00,Australia,7,,
30/01/2020,9:00,France,5,,
30/01/2020,9:00,Canada,3,,
30/01/2020,9:00,Germany,4,,
30/01/2020,9:00,Sri Lanka,1,,
30/01/2020,9:00,Cambodia,1,,
30/01/2020,9:00,United Arab Emirates,4,,
30/01/2020,9:00,Finland,1,,
30/01/2020,18:00,Hong Kong Special Administrative Region,10,,
30/01/2020,18:00,Macao Special Administrative Region,7,,
30/01/2020,18:00,Taiwan,8,,
30/01/2020,18:00,Japan,9,,Excluded 2 asymptomatic cases
30/01/2020,18:00,Korea,4,,
30/01/2020,18:00,Thailand,14,,
30/01/2020,18:00,Singapore,10,,
30/01/2020,18:00,Vietnam,2,,
30/01/2020,18:00,Nepal,1,,
30/01/2020,18:00,Malaysia,7,,
30/01/2020,18:00,United States,5,,
30/01/2020,18:00,Australia,7,,
30/01/2020,18:00,France,5,,
30/01/2020,18:00,Canada,3,,
30/01/2020,18:00,Germany,4,,
30/01/2020,18:00,Sri Lanka,1,,
30/01/2020,18:00,Cambodia,1,,
30/01/2020,18:00,United Arab Emirates,4,,
30/01/2020,18:00,Finland,1,,
30/01/2020,18:00,Philippines,1,,
30/01/2020,18:00,India,1,,
31/01/2020,9:00,Hong Kong Special Administrative Region,12,,
31/01/2020,9:00,Macao Special Administrative Region,7,,
31/01/2020,9:00,Taiwan,9,,
31/01/2020,9:00,Japan,12,,Excluded 2 asymptomatic cases
31/01/2020,9:00,Korea,6,,
31/01/2020,9:00,Thailand,14,,
31/01/2020,9:00,Singapore,13,,
31/01/2020,9:00,Vietnam,5,,
31/01/2020,9:00,Nepal,1,,
31/01/2020,9:00,Malaysia,8,,
31/01/2020,9:00,United States,6,,
31/01/2020,9:00,Australia,9,,
31/01/2020,9:00,France,6,,
31/01/2020,9:00,Canada,3,,
31/01/2020,9:00,Germany,4,,
31/01/2020,9:00,Sri Lanka,1,,
31/01/2020,9:00,Cambodia,1,,
31/01/2020,9:00,United Arab Emirates,4,,
31/01/2020,9:00,Finland,1,,
31/01/2020,9:00,Philippines,1,,
31/01/2020,9:00,India,1,,
31/01/2020,9:00,Italy,2,,
31/01/2020,18:00,Hong Kong Special Administrative Region,12,,
31/01/2020,18:00,Macao Special Administrative Region,7,,
31/01/2020,18:00,Taiwan,9,,
31/01/2020,18:00,Japan,12,,Excluded 2 asymptomatic cases
31/01/2020,18:00,Korea,7,,
31/01/2020,18:00,Thailand,14,,
31/01/2020,18:00,Singapore,13,,
31/01/2020,18:00,Vietnam,5,,
31/01/2020,18:00,Nepal,1,,
31/01/2020,18:00,Malaysia,8,,
31/01/2020,18:00,United States,6,,
31/01/2020,18:00,Australia,9,,
31/01/2020,18:00,France,6,,
31/01/2020,18:00,Canada,3,,
31/01/2020,18:00,Germany,4,,
31/01/2020,18:00,Sri Lanka,1,,
31/01/2020,18:00,Cambodia,1,,
31/01/2020,18:00,United Arab Emirates,4,,
31/01/2020,18:00,Finland,1,,
31/01/2020,18:00,Philippines,1,,
31/01/2020,18:00,India,1,,
31/01/2020,18:00,Italy,2,,
31/01/2020,18:00,United Kingdom,2,,
01/02/2020,9:00,Hong Kong Special Administrative Region,13,,
01/02/2020,9:00,Macao Special Administrative Region,7,,
01/02/2020,9:00,Taiwan,10,,
01/02/2020,9:00,Japan,13,,Excluded 4 asymptomatic cases
01/02/2020,9:00,Korea,11,,
01/02/2020,9:00,Thailand,19,,
01/02/2020,9:00,Singapore,16,,
01/02/2020,9:00,Vietnam,5,,
01/02/2020,9:00,Nepal,1,,
01/02/2020,9:00,Malaysia,8,,
01/02/2020,9:00,United States,6,,
01/02/2020,9:00,Australia,9,,
01/02/2020,9:00,France,6,,
01/02/2020,9:00,Canada,4,,
01/02/2020,9:00,Germany,7,,
01/02/2020,9:00,Sri Lanka,1,,
01/02/2020,9:00,Cambodia,1,,
01/02/2020,9:00,United Arab Emirates,4,,
01/02/2020,9:00,Finland,1,,
01/02/2020,9:00,The Philippines,1,,
01/02/2020,9:00,India,1,,
01/02/2020,9:00,Italy,2,,
01/02/2020,9:00,United Kingdom,2,,
01/02/2020,9:00,Russia,2,,
01/02/2020,9:00,Sweden,1,,
01/02/2020,18:00,Hong Kong Special Administrative Region,13,,
01/02/2020,18:00,Macao Special Administrative Region,7,,
01/02/2020,18:00,Taiwan,10,,
01/02/2020,18:00,Japan,13,,Excluded 4 asymptomatic cases
01/02/2020,18:00,Korea,12,,
01/02/2020,18:00,Thailand,19,,
01/02/2020,18:00,Singapore,16,,
01/02/2020,18:00,Vietnam,6,,
01/02/2020,18:00,Nepal,1,,
01/02/2020,18:00,Malaysia,8,,
01/02/2020,18:00,United States,6,,
01/02/2020,18:00,Australia,10,,
01/02/2020,18:00,France,6,,
01/02/2020,18:00,Canada,4,,
01/02/2020,18:00,Germany,7,,
01/02/2020,18:00,Sri Lanka,1,,
01/02/2020,18:00,Cambodia,1,,
01/02/2020,18:00,United Arab Emirates,4,,
01/02/2020,18:00,Finland,1,,
01/02/2020,18:00,The Philippines,1,,
01/02/2020,18:00,India,1,,
01/02/2020,18:00,Italy,2,,
01/02/2020,18:00,United Kingdom,2,,
01/02/2020,18:00,Russia,2,,
01/02/2020,18:00,Sweden,1,,
02/02/2020,9:00,Hong Kong Special Administrative Region,14,,
02/02/2020,9:00,Macao Special Administrative Region,7,,
02/02/2020,9:00,Taiwan,10,,
02/02/2020,9:00,Japan,15,,Excluded 5 asymptomatic cases
02/02/2020,9:00,Korea,12,,
02/02/2020,9:00,Thailand,19,,
02/02/2020,9:00,Singapore,18,,
02/02/2020,9:00,Vietnam,6,,
02/02/2020,9:00,Nepal,1,,
02/02/2020,9:00,Malaysia,8,,
02/02/2020,9:00,United States,8,,
02/02/2020,9:00,Australia,10,,
02/02/2020,9:00,France,6,,
02/02/2020,9:00,Canada,4,,
02/02/2020,9:00,Germany,7,,
02/02/2020,9:00,Sri Lanka,1,,
02/02/2020,9:00,Cambodia,1,,
02/02/2020,9:00,United Arab Emirates,4,,
02/02/2020,9:00,Finland,1,,
02/02/2020,9:00,The Philippines,1,,
02/02/2020,9:00,India,1,,
02/02/2020,9:00,Italy,2,,
02/02/2020,9:00,United Kingdom,2,,
02/02/2020,9:00,Russia,2,,
02/02/2020,9:00,Sweden,1,,
02/02/2020,9:00,Spain,1,,
02/02/2020,18:00,Hong Kong Special Administrative Region,14,,
02/02/2020,18:00,Macao Special Administrative Region,8,,
02/02/2020,18:00,Taiwan,10,,
02/02/2020,18:00,Japan,15,,Excluded 5 asymptomatic cases
02/02/2020,18:00,Korea,15,,
02/02/2020,18:00,Thailand,19,,
02/02/2020,18:00,Singapore,18,,
02/02/2020,18:00,Vietnam,7,,
02/02/2020,18:00,Nepal,1,,
02/02/2020,18:00,Malaysia,8,,
02/02/2020,18:00,United States,8,,
02/02/2020,18:00,Australia,12,,
02/02/2020,18:00,France,6,,
02/02/2020,18:00,Canada,4,,
02/02/2020,18:00,Germany,8,,
02/02/2020,18:00,Sri Lanka,1,,
02/02/2020,18:00,Cambodia,1,,
02/02/2020,18:00,United Arab Emirates,5,,
02/02/2020,18:00,Finland,1,,
02/02/2020,18:00,The Philippines,2,,
02/02/2020,18:00,India,2,,
02/02/2020,18:00,Italy,2,,
02/02/2020,18:00,United Kingdom,2,,
02/02/2020,18:00,Russia,2,,
02/02/2020,18:00,Sweden,1,,
02/02/2020,18:00,Spain,1,,
03/02/2020,9:00,Hong Kong Special Administrative Region,15,,
03/02/2020,9:00,Macao Special Administrative Region,8,,
03/02/2020,9:00,Taiwan,10,,
03/02/2020,9:00,Japan,15,,Excluded 5 asymptomatic cases
03/02/2020,9:00,Korea,15,,
03/02/2020,9:00,Thailand,19,,
03/02/2020,9:00,Singapore,18,,
03/02/2020,9:00,Vietnam,7,,
03/02/2020,9:00,Nepal,1,,
03/02/2020,9:00,Malaysia,8,,
03/02/2020,9:00,United States,8,,
03/02/2020,9:00,Australia,12,,
03/02/2020,9:00,France,6,,
03/02/2020,9:00,Canada,4,,
03/02/2020,9:00,Germany,8,,
03/02/2020,9:00,Sri Lanka,1,,
03/02/2020,9:00,Cambodia,1,,
03/02/2020,9:00,United Arab Emirates,5,,
03/02/2020,9:00,Finland,1,,
03/02/2020,9:00,The Philippines,2,,
03/02/2020,9:00,India,2,,
03/02/2020,9:00,Italy,2,,
03/02/2020,9:00,United Kingdom,2,,
03/02/2020,9:00,Russia,2,,
03/02/2020,9:00,Sweden,1,,
03/02/2020,9:00,Spain,1,,
03/02/2020,18:00,Hong Kong Special Administrative Region,15,,
03/02/2020,18:00,Macao Special Administrative Region,8,,
03/02/2020,18:00,Taiwan,10,,
03/02/2020,18:00,Japan,15,,Excluded 5 asymptomatic cases
03/02/2020,18:00,Korea,15,,
03/02/2020,18:00,Thailand,19,,
03/02/2020,18:00,Singapore,18,,
03/02/2020,18:00,Vietnam,8,,
03/02/2020,18:00,Nepal,1,,
03/02/2020,18:00,Malaysia,8,,
03/02/2020,18:00,United States,11,,
03/02/2020,18:00,Australia,12,,
03/02/2020,18:00,France,6,,
03/02/2020,18:00,Canada,4,,
03/02/2020,18:00,Germany,10,,
03/02/2020,18:00,Sri Lanka,1,,
03/02/2020,18:00,Cambodia,1,,
03/02/2020,18:00,United Arab Emirates,5,,
03/02/2020,18:00,Finland,1,,
03/02/2020,18:00,The Philippines,2,,
03/02/2020,18:00,India,3,,
03/02/2020,18:00,Italy,2,,
03/02/2020,18:00,United Kingdom,2,,
03/02/2020,18:00,Russia,2,,
03/02/2020,18:00,Sweden,1,,
03/02/2020,18:00,Spain,1,,
04/02/2020,9:00,Hong Kong Special Administrative Region,15,,
04/02/2020,9:00,Macao Special Administrative Region,8,,
04/02/2020,9:00,Taiwan,10,,
04/02/2020,9:00,Japan,15,,Excluded 5 asymptomatic cases
04/02/2020,9:00,Korea,15,,
04/02/2020,9:00,Thailand,19,,
04/02/2020,9:00,Singapore,18,,
04/02/2020,9:00,Vietnam,8,,
04/02/2020,9:00,Nepal,1,,
04/02/2020,9:00,Malaysia,8,,
04/02/2020,9:00,United States,11,,
04/02/2020,9:00,Australia,12,,
04/02/2020,9:00,France,6,,
04/02/2020,9:00,Canada,4,,
04/02/2020,9:00,Germany,10,,
04/02/2020,9:00,Sri Lanka,1,,
04/02/2020,9:00,Cambodia,1,,
04/02/2020,9:00,United Arab Emirates,5,,
04/02/2020,9:00,Finland,1,,
04/02/2020,9:00,The Philippines,2,,
04/02/2020,9:00,India,3,,
04/02/2020,9:00,Italy,2,,
04/02/2020,9:00,United Kingdom,2,,
04/02/2020,9:00,Russia,2,,
04/02/2020,9:00,Sweden,1,,
04/02/2020,9:00,Spain,1,,
04/02/2020,18:00,Hong Kong Special Administrative Region,17,,
04/02/2020,18:00,Macao Special Administrative Region,10,,
04/02/2020,18:00,Taiwan,10,,
04/02/2020,18:00,Japan,15,,Excluded 5 asymptomatic cases
04/02/2020,18:00,Korea,16,,
04/02/2020,18:00,Thailand,19,,
04/02/2020,18:00,Singapore,18,,
04/02/2020,18:00,Vietnam,10,,
04/02/2020,18:00,Nepal,1,,
04/02/2020,18:00,Malaysia,10,,
04/02/2020,18:00,United States,11,,
04/02/2020,18:00,Australia,12,,
04/02/2020,18:00,France,6,,
04/02/2020,18:00,Canada,4,,
04/02/2020,18:00,Germany,10,,Excluded 2 asymptomatic cases
04/02/2020,18:00,Sri Lanka,1,,
04/02/2020,18:00,Cambodia,1,,
04/02/2020,18:00,United Arab Emirates,5,,
04/02/2020,18:00,Finland,1,,
04/02/2020,18:00,The Philippines,2,,
04/02/2020,18:00,India,3,,
04/02/2020,18:00,Italy,2,,
04/02/2020,18:00,United Kingdom,2,,
04/02/2020,18:00,Russia,2,,
04/02/2020,18:00,Sweden,1,,
04/02/2020,18:00,Spain,1,,
04/02/2020,18:00,Belgium,1,,
05/02/2020,9:00,Hong Kong Special Administrative Region,18,,
05/02/2020,9:00,Macao Special Administrative Region,10,,
05/02/2020,9:00,Taiwan,10,,
05/02/2020,9:00,Japan,19,,Excluded 5 asymptomatic cases
05/02/2020,9:00,Korea,16,,
05/02/2020,9:00,Thailand,19,,
05/02/2020,9:00,Singapore,24,,
05/02/2020,9:00,Vietnam,10,,
05/02/2020,9:00,Nepal,1,,
05/02/2020,9:00,Malaysia,10,,
05/02/2020,9:00,United States,11,,
05/02/2020,9:00,Australia,13,,
05/02/2020,9:00,France,6,,
05/02/2020,9:00,Canada,4,,
05/02/2020,9:00,Germany,10,,Excluded 2 asymptomatic cases
05/02/2020,9:00,Sri Lanka,1,,
05/02/2020,9:00,Cambodia,1,,
05/02/2020,9:00,United Arab Emirates,5,,
05/02/2020,9:00,Finland,1,,
05/02/2020,9:00,The Philippines,2,,
05/02/2020,9:00,India,3,,
05/02/2020,9:00,Italy,2,,
05/02/2020,9:00,United Kingdom,2,,
05/02/2020,9:00,Russia,2,,
05/02/2020,9:00,Sweden,1,,
05/02/2020,9:00,Spain,1,,
05/02/2020,9:00,Belgium,1,,
05/02/2020,18:00,Hong Kong Special Administrative Region,21,,
05/02/2020,18:00,Macao Special Administrative Region,10,,
05/02/2020,18:00,Taiwan,11,,
05/02/2020,18:00,Japan,19,,Excluded 5 asymptomatic cases
05/02/2020,18:00,Korea,18,,
05/02/2020,18:00,Thailand,25,,
05/02/2020,18:00,Singapore,24,,
05/02/2020,18:00,Vietnam,10,,
05/02/2020,18:00,Nepal,1,,
05/02/2020,18:00,Malaysia,10,,
05/02/2020,18:00,United States,11,,
05/02/2020,18:00,Australia,13,,
05/02/2020,18:00,France,6,,
05/02/2020,18:00,Canada,5,,
05/02/2020,18:00,Germany,10,,Excluded 2 asymptomatic cases
05/02/2020,18:00,Sri Lanka,1,,
05/02/2020,18:00,Cambodia,1,,
05/02/2020,18:00,United Arab Emirates,5,,
05/02/2020,18:00,Finland,1,,
05/02/2020,18:00,The Philippines,3,,
05/02/2020,18:00,India,3,,
05/02/2020,18:00,Italy,2,,
05/02/2020,18:00,United Kingdom,2,,
05/02/2020,18:00,Russia,2,,
05/02/2020,18:00,Sweden,1,,
05/02/2020,18:00,Spain,1,,
05/02/2020,18:00,Belgium,1,,
06/02/2020,9:00,Hong Kong Special Administrative Region,21,,
06/02/2020,9:00,Macao Special Administrative Region,10,,
06/02/2020,9:00,Taiwan,11,,
06/02/2020,9:00,Japan,21,,Excluded 5 asymptomatic cases;Additional 20 cases were involved in a cruise
06/02/2020,9:00,Korea,19,,
06/02/2020,9:00,Thailand,25,,
06/02/2020,9:00,Singapore,28,,
06/02/2020,9:00,Vietnam,10,,
06/02/2020,9:00,Nepal,1,,
06/02/2020,9:00,Malaysia,10,,
06/02/2020,9:00,United States,12,,
06/02/2020,9:00,Australia,14,,
06/02/2020,9:00,France,6,,
06/02/2020,9:00,Canada,5,,
06/02/2020,9:00,Germany,10,,Excluded 2 asymptomatic cases
06/02/2020,9:00,Sri Lanka,1,,
06/02/2020,9:00,Cambodia,1,,
06/02/2020,9:00,United Arab Emirates,5,,
06/02/2020,9:00,Finland,1,,
06/02/2020,9:00,The Philippines,3,,
06/02/2020,9:00,India,3,,
06/02/2020,9:00,Italy,2,,
06/02/2020,9:00,United Kingdom,2,,
06/02/2020,9:00,Russia,2,,
06/02/2020,9:00,Sweden,1,,
06/02/2020,9:00,Spain,1,,
06/02/2020,9:00,Belgium,1,,
06/02/2020,18:00,Hong Kong Special Administrative Region,22,,
06/02/2020,18:00,Macao Special Administrative Region,10,,
06/02/2020,18:00,Taiwan,13,,
06/02/2020,18:00,Japan,41,,Excluded 5 asymptomatic cases
06/02/2020,18:00,Korea,23,,
06/02/2020,18:00,Thailand,25,,
06/02/2020,18:00,Singapore,28,,
06/02/2020,18:00,Vietnam,10,,
06/02/2020,18:00,Nepal,1,,
06/02/2020,18:00,Malaysia,12,,
06/02/2020,18:00,United States,12,,
06/02/2020,18:00,Australia,14,,
06/02/2020,18:00,France,6,,
06/02/2020,18:00,Canada,5,,
06/02/2020,18:00,Germany,10,,Excluded 2 asymptomatic cases
06/02/2020,18:00,Sri Lanka,1,,
06/02/2020,18:00,Cambodia,1,,
06/02/2020,18:00,United Arab Emirates,5,,
06/02/2020,18:00,Finland,1,,
06/02/2020,18:00,The Philippines,3,,
06/02/2020,18:00,India,3,,
06/02/2020,18:00,Italy,2,,
06/02/2020,18:00,United Kingdom,2,,
06/02/2020,18:00,Russia,2,,
06/02/2020,18:00,Sweden,1,,
06/02/2020,18:00,Spain,1,,
06/02/2020,18:00,Belgium,1,,
07/02/2020,9:00,Hong Kong Special Administrative Region,24,,
07/02/2020,9:00,Macao Special Administrative Region,10,,
07/02/2020,9:00,Taiwan,16,,
07/02/2020,9:00,Japan,41,,Excluded 4 asymptomatic cases
07/02/2020,9:00,Korea,23,,
07/02/2020,9:00,Thailand,25,,
07/02/2020,9:00,Singapore,30,,
07/02/2020,9:00,Vietnam,12,,
07/02/2020,9:00,Nepal,1,,
07/02/2020,9:00,Malaysia,12,,
07/02/2020,9:00,United States,12,,
07/02/2020,9:00,Australia,15,,
07/02/2020,9:00,France,6,,
07/02/2020,9:00,Canada,5,,
07/02/2020,9:00,Germany,11,,Excluded 2 asymptomatic cases
07/02/2020,9:00,Sri Lanka,1,,
07/02/2020,9:00,Cambodia,1,,
07/02/2020,9:00,United Arab Emirates,5,,
07/02/2020,9:00,Finland,1,,
07/02/2020,9:00,The Philippines,3,,
07/02/2020,9:00,India,3,,
07/02/2020,9:00,Italy,2,,
07/02/2020,9:00,United Kingdom,3,,
07/02/2020,9:00,Russia,2,,
07/02/2020,9:00,Sweden,1,,
07/02/2020,9:00,Spain,1,,
07/02/2020,9:00,Belgium,1,,
07/02/2020,18:00,Hong Kong Special Administrative Region,25,,
07/02/2020,18:00,Macao Special Administrative Region,10,,
07/02/2020,18:00,Taiwan,16,,
07/02/2020,18:00,Japan,21,,Excluded 4 asymptomatic cases;61 cases were confirmed among passengers in the cruise ship
07/02/2020,18:00,Korea,24,,
07/02/2020,18:00,Thailand,25,,
07/02/2020,18:00,Singapore,30,,
07/02/2020,18:00,Vietnam,12,,
07/02/2020,18:00,Nepal,1,,
07/02/2020,18:00,Malaysia,15,,
07/02/2020,18:00,United States,12,,
07/02/2020,18:00,Australia,15,,
07/02/2020,18:00,France,6,,
07/02/2020,18:00,Canada,5,,
07/02/2020,18:00,Germany,11,,Excluded 2 asymptomatic cases
07/02/2020,18:00,Sri Lanka,1,,
07/02/2020,18:00,Cambodia,1,,
07/02/2020,18:00,United Arab Emirates,5,,
07/02/2020,18:00,Finland,1,,
07/02/2020,18:00,The Philippines,3,,
07/02/2020,18:00,India,3,,
07/02/2020,18:00,Italy,3,,
07/02/2020,18:00,United Kingdom,3,,
07/02/2020,18:00,Russia,2,,
07/02/2020,18:00,Sweden,1,,
07/02/2020,18:00,Spain,1,,
07/02/2020,18:00,Belgium,1,,
08/02/2020,9:00,Hong Kong Special Administrative Region,26,,
08/02/2020,9:00,Macao Special Administrative Region,10,,
08/02/2020,9:00,Taiwan,16,,
08/02/2020,9:00,Japan,21,,Excluded 9 asymptomatic cases;61 cases were confirmed among passengers in the cruise ship
08/02/2020,9:00,Korea,24,,
08/02/2020,9:00,Thailand,25,,
08/02/2020,9:00,Singapore,33,,
08/02/2020,9:00,Vietnam,13,,
08/02/2020,9:00,Nepal,1,,
08/02/2020,9:00,Malaysia,15,,
08/02/2020,9:00,United States,12,,
08/02/2020,9:00,Australia,15,,
08/02/2020,9:00,France,6,,
08/02/2020,9:00,Canada,7,,
08/02/2020,9:00,Germany,12,,Excluded 2 asymptomatic cases
08/02/2020,9:00,Sri Lanka,1,,
08/02/2020,9:00,Cambodia,1,,
08/02/2020,9:00,United Arab Emirates,5,,
08/02/2020,9:00,Finland,1,,
08/02/2020,9:00,The Philippines,3,,
08/02/2020,9:00,India,3,,
08/02/2020,9:00,Italy,3,,
08/02/2020,9:00,United Kingdom,3,,
08/02/2020,9:00,Russia,2,,
08/02/2020,9:00,Sweden,1,,
08/02/2020,9:00,Spain,1,,
08/02/2020,9:00,Belgium,1,,
08/02/2020,18:00,Hong Kong Special Administrative Region,26,,
