Flight/Train/Ship number,Departure & arrival,Date of travel,Related probable/confirmed cases
"Flight CX256 (Seat No.: 21A, 47B)",London → Hong Kong,15/3/2020 (Arrival in Hong Kong),Case 171 and 181
Flight TG600 (Seat No.: Unknown),Bangkok → Hong Kong,15/03/2020,Case 172
Flight BA0027 (Seat No.: 14A),London → Hong Kong,15/3/2020 (Arrival in Hong Kong),Case 180
Flight LH796 (Seat No.: 46G),Frankfurt → Hong Kong,15/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight HX782 (Seat No.: 42E),Manila → Hong Kong,15/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight LH796 (Seat No.: 8C),Frankfurt→Hong Kong,15/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight KA734 (Seat No.: 63K),Kuala Lumpur → Hong Kong,16/03/2020,Case notified by the Health Bureau of Macao Special Administrative Region
Flight CX5734 (Seat No.: 23G),Kuala Lumpur → Hong Kong,16/03/2020,Case 164
Flight QR818 (Seat No.: Business class 24E),Doha → Hong Kong,16/03/2020,Case 165
"Flight BA0027 (Seat No.: 42J, Business class 57K)",London → Hong Kong,16/3/2020 (Arrival in Hong Kong),Case 166 and 190
Flight CX702 (Seat No.: 44E),Bangkok → Hong Kong,16/3/2020 01:54am (Arrival in Hong Kong),"Case 177, 178 and 200"
Flight MH78 (Seat No.: 30F),Kuala Lumpur → Hong Kong,16/03/2020,Case 185
Flight LX138 (Seat No.: 43A),Zurich → Hong Kong,16/3/2020 (Arrival in Hong Kong),Case 193
Flight HX782 (Seat No.: 41K),Manila → Hong Kong,16/03/2020,Case notified by the Health Bureau of Macao Special Administrative Region
Flight LX138 (Seat No.: 43A),Zurich → Hong Kong,16/3/2020 (Arrival in Hong Kong),Case 193
Flight CX845 (Seat No.: 59B),New York → Hong Kong,16/3/2020 (Arrival in Hong Kong),Case 203
Flight EK380 (Seat No.: 50B),Dubai → Hong Kong,16/03/2020,Case 207 and case notified by the Health Commission of Guangdong province
Flight SQ856 (Seat No.: 40B),Singapore→Hong Kong,16/03/2020,Case notified by the Health Bureau of Macao Special Administrative Region
Flight JL29 (Seat No.: 46K),Tokyo → Hong Kong,17/03/2020,Case 179
Flight CX250 (Seat No.: Unknown),London → Hong Kong,17/3/2020 (Arrival in Hong Kong),Case 187
"Flight BI635 (Seat No.: 35A, 35B)",Brunei → Hong Kong,17/03/2020,Case 188 and 189
Flight CX718 (Seat No.: 47F),Jakarta → Hong Kong,17/03/2020,Case notified by the Health Bureau of Macao Special Administrative Region
Flight SQ860 (Seat No.: 46B),Singapore → Hong Kong,17/03/2020,Case 198
Flight CX881 (Seat No.: Business class 25D),Los Angeles → Hong Kong,17/3/2020 (Arrival in Hong Kong),Case 204
Flight CX829 (Seat No.: 65H),Toronto → Hong Kong,17/3/2020 (Arrival in Hong Kong),Case 205
Flight SQ856 (Seat No.: 16F),Singapore → Hong Kong,17/03/2020,Case notified by the Health Commission of Guangdong province
Flight CX718 (Seat No.: 47F),Jakarta → Hong Kong,17/03/2020,Case notified by the Health Bureau of Macao Special Administrative Region
Flight CX807 (Seat No.: 42A),Chicago→Hong Kong,17/3/2020 (Arrival in Hong Kong),Case notified by the Health Commission of Guangdong province
Flight CX748 (Seat No.: 68D),Johannesburg →Hong Kong,18/3/2020 (Arrival in Hong Kong),Case 197
Flight CX320 (Seat No.: 60J),Madrid → Hong Kong,18/3/2020 (Arrival in Hong Kong),Case 202
Flight CX288 (Seat No.: 2A),Frankfurt → Hong Kong,18/3/2020 (Arrival in Hong Kong),Case 209
Diamond Princess,"Yokohama, Japan → Hong Kong → Yokohama, Japan",Since 20/1/2020,"Case 14, 71, 78, 79, 80, 81, 87, 88, 94, 96, 97 and an outbreak reported by the health authority of Japan"
Taxi,Hong Kong International Airport → Shenzhen Bay Port,08/03/2020,Case notified by Health Commission of Guangdong Province
Taxi,"Hong Kong International Airport → Serene Court, 35 Sai Ning Street",08/03/2020,Case 132
Taxi,"Hong Kong International Airport → Ng Tung Chai, Lam Tsuen",8/3/2020 1:30pm,Case 134
Ferry,Central → Cheung Chau,10/3/2020 7:40am,Case 123
Taxi UF1749,Hong Kong International Airport → Shenzhen Bay Port,10/03/2020,Case notified by Health Commission of Guangdong Province
Taxi,iPlace → Princess Margaret Hospital,10/3/2020 (Arrived Princess Margaret Hospital at 5:45pm),Case 130 and 131
Taxi,Princess Margaret Hospital → iPlace,10/3/2020 9pm,Case 131
Taxi,"Queen Mary Hospital → Serene Court, 35 Sai Ning Street",11/3/2020 1:15pm and 12/03/2020 11am,Case 132
